3 7505 0269 06 07	1 0 5.2e-02 1.6e-01 1.0e+00 7.0e-09 1.7e-09 1.7e-08
3 7505 0269 06 07	1 0 2.4e-01 4.4e-02 1.0e+00 7.0e-09 1.7e-09 1.8e-08
3 7495 0269 06 06	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.3e-09 1.8e-08
3 7495 0257 06 06	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7495 0257 06 06	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7495 0257 06 06	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7495 0257 06 05	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7495 0257 06 05	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7495 0257 06 05	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7495 0257 06 05	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7486 0257 06 04	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7486 0257 06 04	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7486 0257 06 03	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7486 0257 06 03	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7486 0257 06 03	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7486 0257 06 03	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7486 0257 06 03	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7486 0257 06 02	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7486 0257 06 02	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 7486 0257 06 01	1 0 1.2e-01 2.9e-02 2.6e-01 6.9e-09 1.2e-09 1.8e-08
3 8258 0233 04 08	1 0 4.9e-01 4.2e-01 1.0e+00 6.9e-09 1.7e-09 1.7e-08
3 8268 0245 05 08	1 0 3.5e-01 5.9e-01 9.0e-01 6.8e-09 1.7e-09 1.7e-08
3 8268 0245 05 08	1 0 2.1e-01 7.4e-01 7.2e-01 6.8e-09 1.5e-09 1.7e-08
3 8277 0221 05 08	1 0 1.6e-01 8.7e-01 5.7e-01 6.7e-09 1.4e-09 1.7e-08
